DATA;HORARIO;MANDANTE;RESULTADO;VISITANTE; PUBLICO ;LOCAL
05/10/2024;16:30;RB Bragantino;0X0;Palmeiras; 9.989 ;Estadio Nabi Abi Chedid
05/10/2024;16:30;Ath Paranaense;0X1;Botafogo (RJ); 22.726 ;Ligga Arena
05/10/2024;16:30;Atletico Mineiro;2X2;Vitoria; 3.491 ;Arena MRV
05/10/2024;18:00 (19:00);Cuiaba;2X0;Sao Paulo; 11.883 ;Arena Pantanal
05/10/2024;19:00;Corinthians;2X2;Internacional; 44.866 ;Neo Quimica Arena
05/10/2024;19:00;Bahia;0X2;Flamengo; 43.433 ;Itaipava Arena Fonte Nova
04/10/2024;21:30;Gremio;3X1;Fortaleza; 22.204 ;Arena do Gremio
05/10/2024;21:00;Vasco da Gama;1X1;Juventude; 18.036 ;Estadio Club de Regatas Vasco da Gama
09/10/2024;19:30;Atletico Mineiro;2X1;Gremio; 22.053 ;Arena MRV
17/10/2024;20:00;Flamengo;0X2;Fluminense; 58.117 ;Estadio Jornalista Mario Filho
17/10/2024;20:00;Corinthians;5X2;Ath Paranaense; 44.399 ;Neo Quimica Arena
16/10/2024;21:45;Sao Paulo;3X0;Vasco da Gama; 15.947 ;Estadio Brinco de Ouro da Princesa
16/10/2024;21:45;Fortaleza;1X1;Atletico Mineiro; 23.046 ;Estadio Castelao
18/10/2024;19:00;Atl Goianiense;0X0;Cuiaba; 3.622 ;Estadio Antonio Accioly
18/10/2024;20:00;Botafogo (RJ);1X1;Criciuma; 64.727 ;Estadio Jornalista Mario Filho
19/10/2024;16:00;Vitoria;1X0;RB Bragantino; 25.189 ;Estadio Manoel Barradas
19/10/2024;16:00;Internacional;1X0;Gremio; 48.049 ;Estadio Jose Pinheiro Borba
18/10/2024;21:30;Cruzeiro;1X1;Bahia; 34.473 ;Estadio Governador Magalhaes  Pinto
20/10/2024;20:00;Juventude;3X5;Palmeiras; 10.102 ;Estadio Alfredo Jaconi
22/10/2024;19:30;Fluminense;1X0;Ath Paranaense; 39.465 ;Estadio Jornalista Mario Filho
24/10/2024;19:00;Vasco da Gama;1X0;Cuiaba; 16.696 ;Estadio Club de Regatas Vasco da Gama
26/10/2024;16:30;Vitoria;2X1;Fluminense; 29.497 ;Estadio Manoel Barradas
26/10/2024;16:30;Flamengo;4X2;Juventude; 657 ;Estadio Jornalista Mario Filho
26/10/2024;16:30;Gremio;3X1;Atl Goianiense; 36.959 ;Arena do Gremio
26/10/2024;16:30;Palmeiras;2X2;Fortaleza; 40.321 ;Allianz Parque
26/10/2024;18:30;Ath Paranaense;3X0;Cruzeiro; 35.959 ;Ligga Arena
26/10/2024;19:00;Atletico Mineiro;1X3;Internacional; 27.028 ;Arena MRV
26/10/2024;19:00;RB Bragantino;0X1;Botafogo (RJ); 74 ;Estadio Nabi Abi Chedid
26/10/2024;22:00;Criciuma;1X1;Sao Paulo; 17.422 ;Estadio Heriberto Hulse
28/10/2024;18:00 (19:00);Cuiaba;0X1;Corinthians; 1.668 ;Arena Pantanal
28/10/2024;21:00;Vasco da Gama;3X2;Bahia; 17.213 ;Estadio Club de Regatas Vasco da Gama
30/10/2024;19:00;Internacional;1X1;Flamengo; 43.729 ;Estadio Jose Pinheiro Borba
02/11/2024;16:00;RB Bragantino;0X0;Cuiaba; 4.103 ;Estadio Nabi Abi Chedid
02/11/2024;18:30;Juventude;0X3;Fortaleza; 7.419 ;Estadio Alfredo Jaconi
02/11/2024;18:30;Ath Paranaense;1X2;Vitoria; 40.666 ;Ligga Arena
01/11/2024;21:00;Fluminense;2X2;Gremio; 35.278 ;Estadio Jornalista Mario Filho
04/11/2024;20:00;Corinthians;2X0;Palmeiras; 46.085 ;Neo Quimica Arena
05/11/2024;21:30;Bahia;0X3;Sao Paulo; 29.599 ;Itaipava Arena Fonte Nova
05/11/2024;21:30;Internacional;2X0;Criciuma; 29.097 ;Estadio Jose Pinheiro Borba
05/11/2024;21:30;Botafogo (RJ);3X0;Vasco da Gama; 32.007 ;Estadio Nilton Santos
06/11/2024;21:00;Atl Goianiense;1X0;Atletico Mineiro; 3.791 ;Estadio Antonio Accioly
06/11/2024;21:00;Cruzeiro;0X1;Flamengo; 20.855 ;Estadio Raimundo Sampaio
08/11/2024;19:00;Internacional;2X0;Fluminense; 35.877 ;Estadio Jose Pinheiro Borba
09/11/2024;16:30;Vitoria;1X2;Corinthians; 30.973 ;Estadio Manoel Barradas
09/11/2024;16:30;Botafogo (RJ);0X0;Cuiaba; 41.899 ;Estadio Nilton Santos
09/11/2024;19:00;Cruzeiro;2X1;Criciuma; 29.287 ;Estadio Governador Magalhaes  Pinto
09/11/2024;19:00;Fortaleza;3X0;Vasco da Gama; 45.271 ;Estadio Castelao
09/11/2024;19:00;Atl Goianiense;0X0;RB Bragantino; 2.419 ;Estadio Antonio Accioly
09/11/2024;19:00;Juventude;2X1;Bahia; 6.091 ;Estadio Alfredo Jaconi
08/11/2024;21:30;Palmeiras;1X0;Gremio; 3.367 ;Allianz Parque
09/11/2024;21:00;Sao Paulo;2X1;Ath Paranaense; 34.777 ;Estadio do Morumbi
13/11/2024;20:00;Flamengo;0X0;Atletico Mineiro; 63.441 ;Estadio Jornalista Mario Filho
16/11/2024;18:30;Ath Paranaense;1X0;Atletico Mineiro; 40.935 ;Ligga Arena
20/11/2024;11:00;Corinthians;2X1;Cruzeiro; 46.056 ;Neo Quimica Arena
20/11/2024;16:30;Ath Paranaense;2X0;Atl Goianiense; 42.177 ;Ligga Arena
20/11/2024;16:30;RB Bragantino;1X1;Sao Paulo; 9.017 ;Estadio Nabi Abi Chedid
20/11/2024;16:30;Criciuma;0X1;Vitoria; 12.123 ;Estadio Heriberto Hulse
20/11/2024;18:00;Bahia;1X2;Palmeiras; 36.445 ;Itaipava Arena Fonte Nova
20/11/2024;18:00 (19:00);Cuiaba;1X2;Flamengo; 12.891 ;Arena Pantanal
20/11/2024;19:00;Gremio;2X2;Juventude; 40.426 ;Arena do Gremio
21/11/2024;20:00;Vasco da Gama;0X1;Internacional; 17.339 ;Estadio Club de Regatas Vasco da Gama
20/11/2024;21:30;Atletico Mineiro;0X0;Botafogo (RJ);;Estadio Raimundo Sampaio
23/11/2024;19:30;Atl Goianiense;0X1;Palmeiras; 11.216 ;Estadio Antonio Accioly
23/11/2024;19:30;Botafogo (RJ);1X1;Vitoria; 35.491 ;Estadio Nilton Santos
23/11/2024;19:30;Juventude;1X1;Cuiaba; 6.932 ;Estadio Alfredo Jaconi
22/11/2024;21:30;Fluminense;2X2;Fortaleza; 37.969 ;Estadio Jornalista Mario Filho
24/11/2024;16:00;Bahia;1X1;Ath Paranaense; 26.307 ;Itaipava Arena Fonte Nova
24/11/2024;16:00;Internacional;4X1;RB Bragantino; 41.762 ;Estadio Jose Pinheiro Borba
24/11/2024;16:00;Corinthians;3X1;Vasco da Gama; 46.083 ;Neo Quimica Arena
23/11/2024;21:30;Sao Paulo;2X2;Atletico Mineiro; 36.783 ;Estadio do Morumbi
26/11/2024;19:00;Fluminense;0X0;Criciuma; 4.124 ;Estadio Jornalista Mario Filho
26/11/2024;20:00;Fortaleza;0X0;Flamengo; 57.624 ;Estadio Castelao
26/11/2024;21:30;Atletico Mineiro;2X3;Juventude;;Estadio Raimundo Sampaio
26/11/2024;21:30;Palmeiras;1X3;Botafogo (RJ); 31.753 ;Allianz Parque
27/11/2024;21:00;Cruzeiro;1X1;Gremio; 21.009 ;Estadio Governador Magalhaes  Pinto
30/11/2024;18:30 (19:30);Cuiaba;1X2;Bahia; 2.613 ;Arena Pantanal
30/11/2024;19:30;Criciuma;2X4;Corinthians; 18.075 ;Estadio Heriberto Hulse
01/12/2024;16:00;Gremio;2X1;Sao Paulo; 39.197 ;Arena do Gremio
01/12/2024;16:00;Flamengo;3X2;Internacional; 56.571 ;Estadio Jornalista Mario Filho
01/12/2024;18:30;Vitoria;2X0;Fortaleza; 2.909 ;Estadio Manoel Barradas
01/12/2024;18:30;RB Bragantino;1X1;Cruzeiro; 6.223 ;Estadio Nabi Abi Chedid
01/12/2024;18:30;Ath Paranaense;1X1;Fluminense; 41.375 ;Ligga Arena
30/11/2024;21:30;Vasco da Gama;2X2;Atl Goianiense; 1.827 ;Estadio Club de Regatas Vasco da Gama
03/12/2024;20:00;Corinthians;3X0;Bahia; 46.263 ;Neo Quimica Arena
04/12/2024;19:00;Vasco da Gama;2X0;Atletico Mineiro; 17.074 ;Estadio Club de Regatas Vasco da Gama
04/12/2024;20:00;Criciuma;0X3;Flamengo; 18.849 ;Estadio Heriberto Hulse
04/12/2024;20:00;Vitoria;1X1;Gremio; 26.842 ;Estadio Manoel Barradas
04/12/2024;20:00;Sao Paulo;1X2;Juventude; 31.442 ;Estadio do Morumbi
05/12/2024;20:00;Fluminense;1X0;Cuiaba; 5.973 ;Estadio Jornalista Mario Filho
05/12/2024;20:00;Ath Paranaense;1X2;RB Bragantino; 41.626 ;Ligga Arena
04/12/2024;21:30;Atl Goianiense;3X1;Fortaleza; 3.157 ;Estadio Antonio Accioly
04/12/2024;21:30;Internacional;0X1;Botafogo (RJ); 37.628 ;Estadio Jose Pinheiro Borba
04/12/2024;21:30;Cruzeiro;1X2;Palmeiras;;Estadio Governador Magalhaes  Pinto
08/12/2024;15:00 (16:00);Cuiaba;1X2;Vasco da Gama; 703 ;Arena Pantanal
08/12/2024;16:00;Botafogo (RJ);2X1;Sao Paulo; 41.986 ;Estadio Nilton Santos
08/12/2024;16:00;Flamengo;2X2;Vitoria; 67.113 ;Estadio Jornalista Mario Filho
08/12/2024;16:00;RB Bragantino;5X1;Criciuma; 911 ;Estadio Nabi Abi Chedid
08/12/2024;16:00;Fortaleza;3X0;Internacional; 51.386 ;Estadio Castelao
08/12/2024;16:00;Gremio;0X3;Corinthians; 42.945 ;Arena do Gremio
08/12/2024;16:00;Palmeiras;0X1;Fluminense; 34.571 ;Allianz Parque
08/12/2024;16:00;Bahia;2X0;Atl Goianiense; 48.476 ;Itaipava Arena Fonte Nova
08/12/2024;16:00;Juventude;0X1;Cruzeiro; 13.518 ;Estadio Alfredo Jaconi
08/12/2024;16:00;Atletico Mineiro;1X0;Ath Paranaense;;Arena MRV

